,,,,,,,,HQ State,Bank,# of Projects,Total Exposure,Hold Limit,per Deal Limit,Notes,Deposits,Deposit/Loan,As of 10/31/2024,,,,,,
Recourse,,,,,,Thru,,TN,First Horizon Bank,2,"$72,773,000",,,,$0,0.00%,,,,,,,
,Existing Commitments,# of Deals,Projected Commitments,# of Deals,,12/31/2026,,MS,Hancock Whitney,3,"$107,167,182",,,,$0,0.00%,,,,,,,
b1Bank," $129,500,159 ",3," $79,503,317 ",2,,,,LA,b1Bank,5,"$106,076,380",,,,"$3,318,891",3.13%,,,,,,,
The First, $-   ,0, $-   ,0,,,,MS,Renasant Bank,3,"$63,000,000","$85,000,000",,,$0,0.00%,,,,,,,
First Horizon Bank," $74,202,833 ",2," $38,002,833 ",1,,,,MS,Trustmark Bank,3,"$59,049,589","$80,000,000","$25,000,000",Also have NRE loan,"$1,750,139",2.96%,,,,,,,
Cadence Bank, $-   ,0, $-   ,0,,,,SD,Wells Fargo,1,"$41,580,000",,,,$0,0.00%,,,,,,,
Pen-Air," $35,000,000 ",1," $35,000,000 ",1,,,,MS,Cadence Bank,0,$0,,,,$0,0.00%,,,,,,,
Hancock Whitney," $119,328,566 ",3," $119,328,566 ",3,,,,FL,Pen-Air Credit Union,1,"$19,000,000","$45,000,000","$15,000,000",Navy Federal Credit Backing,$0,0.00%,,,,,,,
FirstBank, $-   ,0, $-   ,0,,,,LA,JD Bank,2,"$14,500,000",,,,"$753,581",5.20%,,,,,,,
Renasant Bank," $61,000,000 ",2," $64,456,617 ",2,,,,MS,The Citizens National Bank of Meridian,2,"$13,733,984",,,,$0,0.00%,,,,,,,
Pinnacle Bank, $-   ,0, $-   ,0,,,,LA,Home Bank,2,"$12,500,000",,,,"$782,837",6.26%,,,,,,,
Bank OZK, $-   ,0, $-   ,0,,,,LA,Fidelity Bank,1,"$12,000,000",,,,$0,0.00%,,,,,,,
Fidelity Bank," $31,815,771 ",1," $31,815,771 ",1,,,,AL,First US Bank,1,"$8,733,984",,,,$0,0.00%,,,,,,,
Trustmark Bank," $97,670,554 ",3," $32,467,928 ",1,,,,MS,The Citizens Bank,1,"$7,999,995",,,,$0,0.00%,,,,,,,
12," $590,097,884 ",16," $442,155,032 ",12,,,,LA,Gulf Coast Bank and Trust,1,"$7,065,771",,,,"$700,000",9.91%,,,,,,,
,FALSE,FALSE,FALSE,FALSE,,,,AL,Bryant Bank,1,"$5,000,000",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Liberty Bank,1,"$5,000,000",,,,$0,0.00%,,,,,,,
Non-Recourse,,,,,,,,LA,Red River Bank,1,"$5,000,000",,,,$0,0.00%,,,,,,,
,Existing Commitments,# of Deals,Projected Commitments,# of Deals,,,,LA,Community Bank of Louisiana,1,"$5,000,000",,,,$0,0.00%,,,,,,,
HUD," $211,240,006 ",5," $241,540,603 ",6,,,,LA,United Community Bank - Louisiana,1,"$5,000,000","$12,000,000",N/A,,$0,0.00%,,,,,,,
1," $211,240,006 ",5," $241,540,603 ",6,,,,LA,BOM Bank,1,"$4,999,684",,,,$0,0.00%,,,,,,,
,TRUE,TRUE,TRUE,TRUE,,,,LA,Catalyst Bank,1,"$4,999,684",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Community First Bank,1,"$4,999,684",,,,$0,0.00%,,,,,,,
Total,,,,,,,,LA,FNB Jeanerette,1,"$4,999,684",,,,$0,0.00%,,,,,,,
,Existing Commitments,# of Deals,Projected Commitments,# of Deals,,,,AR,Southern Bancorp,1,"$4,750,000",,,,$0,0.00%,,,,,,,
," $801,337,890 ",21," $683,695,636 ",18,,,,LA,Bank of Zachary,1,"$4,500,000",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Synergy Bank,1,"$4,000,000",,,,$1,0.00%,,,,,,,
,,,,,,,,LA,CLB Bank,1,"$3,999,747",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Citizens Bank & Trust,1,"$3,000,000",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Southern Heritage Bank,1,"$3,000,000",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,First National Bank USA,1,"$3,000,000",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,St Landry Bank,1,"$2,500,000",,,,$0,0.00%,,,,,,,
,,,,,,,,FL,Radifi Federal Credit Union,1,"$2,500,000",,,,$0,0.00%,,,,,,,
,,,,,,,,AL,Avadian Credit Union,1,"$2,000,000",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Rayne State Bank,1,"$1,999,874",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Heart of Louisiana Federal Credit Union,1,"$1,500,000",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Plaquemine Bank,1,"$1,000,000",,,,$0,0.00%,,,,,,,
,,,,,,,,MS,Mutual Federal Credit Union,1,"$1,000,000",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Aneca Federal Credit Union,1,"$1,000,000",,,,$0,0.00%,,,,,,,
,,,,,,,,TX,Red River Employees Federal Credit Union,1,"$500,000",,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Investar Bank,0,$0,,,,"$1,027,850",0.00%,,,,,,,
,,,,,,,,MS,Bank Plus,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Currency Bank,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Gibsland Bank & Trust,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,MS,United Mississippi,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,MS,Magnolia State Bank,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,LA,American Bank & Trust,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Farmers State Bank,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,MS,Richton Bank & Trust,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Winnsboro State Bank & Trust,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,LA,First American Bank & Trust,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,LA,Citizens Savings Bank,0,$0,,,,$0,0.00%,,,,,,,
,,,,,,,,,Total,,"$630,428,244",,,,"$8,333,299",1.32%,,,,,,,
